0,1,0.00,1
1,1,0.00,2
2,1,0.00,2
2,1,0.00,3
3,0,0.00,2
2,1,0.00,2
2,1,0.00,2
2,0,0.00,1
1,1,0.00,1
1,1,0.00,2
2,0,0.00,1
1,0,0.00,0
0,1,0.00,1
1,1,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,1
1,1,0.00,2
2,1,0.00,2
2,1,0.00,3
3,1,0.00,2
2,0,0.00,1
1,1,0.00,2
2,1,0.00,3
3,0,0.00,2
2,0,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,1
1,1,0.00,1
1,1,0.00,1
1,1,0.00,1
1,1,0.00,0
0,0,0.05,0
0,1,0.00,1
1,1,0.00,2
2,0,0.00,1
1,1,0.00,1
1,1,0.00,1
1,0,0.00,0
0,1,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,1
1,0,0.00,0
0,1,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,1,0.00,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,1,0.00,1
1,1,0.00,2
2,1,0.00,3
3,1,0.00,2
2,1,0.00,3
3,0,0.00,2
2,1,0.00,2
2,1,0.00,3
3,0,0.00,2
2,1,0.00,2
2,1,0.00,1
1,1,0.00,1
1,0,0.00,0
0,0,0.05,0
0,1,0.00,0
0,1,0.00,0
0,0,0.05,0
0,1,0.00,1
1,1,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,1,0.00,1
1,0,0.00,0
0,1,0.00,1
1,1,0.00,1
1,1,0.00,1
1,1,0.00,2
2,1,0.00,3
3,1,0.00,3
3,0,0.00,2
2,1,0.00,3
3,1,0.00,3
3,1,0.00,3
3,0,0.00,2
2,0,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,1,0.00,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,1,0.00,1
1,0,0.00,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,1
1,1,0.00,1
1,1,0.00,2
2,0,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,1,0.00,1
1,1,0.00,1
1,0,0.00,0
0,1,0.00,1
1,1,0.00,2
2,1,0.00,2
2,0,0.00,1
1,0,0.00,0
0,1,0.00,1
1,0,0.00,0
0,1,0.00,0
0,1,0.00,0
0,1,0.00,0
0,0,0.05,0
0,1,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,1,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,1,0.00,1
1,0,0.00,0
0,1,0.00,0
0,1,0.00,1
1,1,0.00,2
2,1,0.00,2
2,0,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,1
1,0,0.00,0
0,1,0.00,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,1
1,1,0.00,2
2,0,0.00,1
1,0,0.00,0
0,0,0.05,0
0,0,0.05,0
0,1,0.00,0
0,0,0.05,0
0,1,0.00,1
1,1,0.00,2
2,1,0.00,3
3,1,0.00,3
3,1,0.00,4
4,0,0.00,3
3,0,0.00,2
2,0,0.00,1
1,1,0.00,2
2,0,0.00,1
